"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","code saison","code avion","Livraison","Préparation","DQR","Score unique EF","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux","Matériau d'emballage"
"15201","15201","fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Pâte d'amande, préemballée","Almond paste or marzipan, prepacked","2",0,"Ambiant (long)","Pas de préparation",5,1.6322033,1.4509826,7.458403e-8,0.76060681,0.019313806,6.4101712e-7,7.0032262e-7,1.7040209e-9,0.061929973,0.0011871189,0.026817031,0.25052641,102.28178,347.51885,133.60037,50.382911,0.000045724694,"PACK PROXY"
"15000","15000","fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Amande (avec peau)","Almond, (with peel)","2",0,"Ambiant (long)","Pas de préparation",5,2.860979,1.1227794,1.1304298e-7,0.50117788,0.030393488,0.0000010353135,0.0000013262382,2.4949147e-9,0.093990284,0.0019232513,0.041190349,0.37769183,168.36958,584.91558,252.6364,60.417832,0.000079160115,"PACK PROXY"
"15042","15042","fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Amande, grillée, salée","Almond, grilled, salted","2",0,"Ambiant (long)","Pas de préparation",5,2.860979,1.1227794,1.1304298e-7,0.50117788,0.030393488,0.0000010353135,0.0000013262382,2.4949147e-9,0.093990284,0.0019232513,0.041190349,0.37769183,168.36958,584.91558,252.6364,60.417832,0.000079160115,"PACK PROXY"
"15041","15041","fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Amande, mondée, émondée ou blanchie","Almond, peeled, unpeeled or blanched","2",0,"Ambiant (long)","Pas de préparation",5,2.860979,1.1227794,1.1304298e-7,0.50117788,0.030393488,0.0000010353135,0.0000013262382,2.4949147e-9,0.093990284,0.0019232513,0.041190349,0.37769183,168.36958,584.91558,252.6364,60.417832,0.000079160115,"PACK PROXY"
"15032","15032","fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Luzerne, graine","Alphalfa seeds, raw","2",0,"Ambiant (long)","Pas de préparation",5,0.39560738,3.0437335,4.3216743e-8,0.26075154,0.0096008606,2.4619577e-7,5.9493395e-8,4.6522348e-9,0.034151974,0.001238007,0.024873818,0.1429252,25.87531,517.85434,1.3109581,25.877063,0.000013428055,"PACK PROXY"
"9345","9345","produits céréaliers","pâtes, riz et céréales","Amarante, crue","Amaranth, raw","2",0,"Ambiant (long)","Pas de préparation",5,0.11104133000000001,0.83660047,1.2287685e-8,0.086187939,0.003109876,8.642347e-8,1.5696176e-8,9.0558429e-10,0.012086074,0.0001859229,0.0077017446,0.050089402,5.61428,87.91877,0.25405188,8.1817076,0.0000042075661,"PACK AGB"
"26001","26001","viandes, œufs, poissons","poissons crus","Bar rayé ou bar d'Amérique, cru","American bass, raw","2",0,"Glacé","Pas de préparation",5,1.9980886,12.822659,0.0000015610333,1.5136074,0.062680032,7.4794584e-7,2.7538534e-7,5.5437332e-9,0.068529816,0.0012351703,0.56058275,0.24958185,114.99832,369.98448,2.6279663,177.58084,0.00005705798,"PACK PROXY"
"10048","10048","viandes, œufs, poissons","mollusques et crustacés crus","Pecten d'Amérique ou Peigne du canada, noix, crue","American or Canadian sea scallop, without coral, raw","2",0,"Glacé","Pas de préparation",5,1.3804653999999998,12.229685,2.9222873e-7,0.4927254,0.13936833,0.0000013887729,5.90849e-8,3.4175569e-9,0.17735753,0.0011691214,0.051241339,0.48385965,41.613058,29.820754,0.42927248,123.34808,0.000061603912,"PACK PROXY"
"11167","11167","aides culinaires et ingrédients divers","sauces","Sauce américaine, préemballée","American-style sauce, prepacked","2",0,"Glacé","Pas de préparation",5,0.41754502,3.475397,9.4202234e-7,0.82659523,0.014037416,3.5023695e-7,5.242026e-8,1.5601135e-9,0.045418519,0.00040488866,0.012347098,0.17486717,25.328961,102.40615,0.76566699,43.280194,0.000032391539,"PACK PROXY"
"26000","26000","viandes, œufs, poissons","produits à base de poissons et produits de la mer","Anchois, filets à l'huile, semi-conserve, égoutté","Anchovy, fillets, in oil, semi-preserved, drained","2",0,"Glacé","Pas de préparation",5,0.8462767,9.7302632,4.1297679e-7,0.45369995,0.049908285,5.9906847e-7,8.0015516e-8,3.587163e-9,0.073449421,0.0014160689,0.02428722,0.19969925,65.744993,223.04227,3.675977,83.8312,0.000034480029,"PACK AGB"
"25999","25999","viandes, œufs, poissons","produits à base de poissons et produits de la mer","Anchois, filets roulés aux câpres, semi-conserve, égoutté","Anchovy, fillets, rolled with capers, semi-preserved, drained","2",0,"Glacé","Pas de préparation",5,0.3484509,2.8210407,8.9014962e-8,0.86375014,0.019778456,2.5353756e-7,3.9062387e-8,3.0372005e-9,0.027599286,0.00096792699,0.0093956137,0.071893357,25.707231,77.09921,0.45194622,49.463256,0.000024429847,"PACK AGB"
"26177","26177","viandes, œufs, poissons","produits à base de poissons et produits de la mer","Anchois au sel (anchoité, semi-conserve)","Anchovy, in salt (semi-preserved)","2",0,"Glacé","Pas de préparation",5,0.3767462,2.6853612,0.000001814735,0.2250797,0.030363525,3.0585733e-7,1.9735096e-8,8.4634599e-10,0.037766203,0.00026819928,0.0095591166,0.10299421,5.6389488,9.0029562,0.19778889,38.89963,0.000062908717,"PACK PROXY"
"26081","26081","viandes, œufs, poissons","poissons cuits","Lotte ou baudroie, grillée/poêlée","Anglerfish, grilled","2",0,"Glacé","Four",5,2.4367512000000002,14.971152,0.0000021565617,0.85906355,0.29233644,0.0000030233252,6.1668391e-8,6.670658e-9,0.39103808,0.00069325312,0.096056254,1.0488041,15.250525,20.57012,0.51751326,208.98779,0.000084280085,"PACK PROXY"
"26018","26018","viandes, œufs, poissons","poissons crus","Lotte ou baudroie, crue","Anglerfish, raw","2",0,"Glacé","Pas de préparation",5,1.9688571000000001,12.188752,0.0000017640754,0.28003355,0.23912983,0.0000024713049,4.7505226e-8,5.4092627e-9,0.31970158,0.00052943654,0.078563124,0.85806833,12.058341,16.31433,0.39493123,161.74181,0.000065558231,"PACK PROXY"
"13038","13038","fruits, légumes, légumineuses et oléagineux","fruits","Compote de pomme","Apple compote","2",0,"Glacé","Pas de préparation",5,0.1483063,1.3111671,1.5849893e-7,0.64743175,0.0050309341,6.7654661e-8,1.6478583e-8,5.4102364e-10,0.0071624373,0.00025896194,0.0029360265,0.025246645,13.113241,28.21372,0.81675145,29.307958,0.0000099315761,"PACK AGB"
"23493","23493","produits céréaliers","gâteaux et pâtisseries","Crumble aux pommes","Apple crumble","2",0,"Ambiant (long)","Pas de préparation",5,0.28810855,2.1472862,0.0000017845706,0.57576482,0.0062948399,1.7750538e-7,3.2347289e-8,9.1070814e-10,0.023309178,0.00027228502,0.0072540341,0.095063057,21.454035,69.323101,0.82693295,29.655543,0.000050276536,"PACK PROXY"
"2074","2074","boissons","boissons sans alcool","Jus de pomme, pur jus","Apple juice, pure juice","2",0,"Ambiant (long)","Pas de préparation",5,0.09387532900000001,0.83770808,5.3422555e-7,0.17851369,0.0030462711,2.7919306e-8,1.618976e-8,3.5671613e-10,0.0027910702,0.00012994444,0.0015682627,0.0091554018,17.398353,23.379124,0.45475565,12.073644,0.000017339987,"PACK PROXY"
"23481","23481","produits céréaliers","gâteaux et pâtisseries","Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)","Apple pie with custard (flour, eggs, cream, sugar, apple alcohol)","2",0,"Ambiant (long)","Pas de préparation",5,0.63765156,2.7471919,0.0000017953118,0.65347961,0.010267907,3.4819673e-7,1.7625267e-7,1.496838e-9,0.04280697,0.00050367839,0.01390849,0.17649243,46.78191,157.82607,26.504009,36.845666,0.000059054168,"PACK PROXY"
"23490","23490","produits céréaliers","gâteaux et pâtisseries","Tarte ou tartelette aux pommes","Apple tart","2",0,"Ambiant (long)","Pas de préparation",5,0.26434322,1.9745089,0.0000017837409,0.56739551,0.0058254883,1.5085432e-7,3.2057817e-8,8.4866319e-10,0.019577028,0.00024915227,0.0061880606,0.078965483,20.147035,60.888606,0.62458398,28.657133,0.000049795968,"PACK PROXY"
"23480","23480","produits céréaliers","pains et viennoiseries","Chausson aux pommes","Apple turnover","2",0,"Ambiant (court)","Pas de préparation",5,0.21285425000000002,1.8417667,2.6649648e-8,0.4998098,0.0049935417,1.7816553e-7,3.3782635e-8,8.9580304e-10,0.024575042,0.00017774036,0.0073397246,0.10449539,21.724903,74.737601,0.61394032,21.107825,0.000006078944,"PACK PROXY"
"13085","13085","fruits, légumes, légumineuses et oléagineux","fruits","Pomme Canada, pulpe, crue","Apple, Canada, pulp, raw","2",0,"Ambiant (moyen)","Pas de préparation",5,0.055669111,0.52882804,2.9846672e-8,0.06381576,0.0026716997,2.5098815e-8,1.3322713e-8,2.9145162e-10,0.0023956276,0.000068046373,0.0010173999,0.0091469355,13.783948,20.12695,0.38577287,7.2448096,0.0000041230688,"PACK AGB"
"13111","13111","fruits, légumes, légumineuses et oléagineux","fruits","Pomme, sèche","Apple, dried","2",0,"Ambiant (moyen)","Pas de préparation",5,0.42515780000000003,2.2593045,9.7846117e-8,4.8212429,0.011175071,1.0795645e-7,5.9198654e-8,1.3736755e-9,0.011492433,0.00049109267,0.0045030974,0.037549287,58.755465,90.364963,2.0006915,125.84986,0.000020799179,"PACK AGB"
"13039","13039","fruits, légumes, légumineuses et oléagineux","fruits","Pomme, pulpe et peau, crue","Apple, pulp and peel, raw","2",0,"Ambiant (moyen)","Pas de préparation",5,0.055669111,0.52882804,2.9846672e-8,0.06381576,0.0026716997,2.5098815e-8,1.3322713e-8,2.9145162e-10,0.0023956276,0.000068046373,0.0010173999,0.0091469355,13.783948,20.12695,0.38577287,7.2448096,0.0000041230688,"PACK AGB"
"13050","13050","fruits, légumes, légumineuses et oléagineux","fruits","Pomme, pulpe, crue","Apple, pulp, raw","2",0,"Ambiant (moyen)","Pas de préparation",5,0.055669111,0.52882804,2.9846672e-8,0.06381576,0.0026716997,2.5098815e-8,1.3322713e-8,2.9145162e-10,0.0023956276,0.000068046373,0.0010173999,0.0091469355,13.783948,20.12695,0.38577287,7.2448096,0.0000041230688,"PACK AGB"
"13175","13175","fruits, légumes, légumineuses et oléagineux","fruits","Pomme, pulpe, rôtie/cuite au four","Apple, pulp, roasted/baked","2",0,"Ambiant (moyen)","Four",5,0.16952298999999998,1.6054791,2.1496714e-7,0.67411406,0.0063195327,6.1794979e-8,2.5835653e-8,7.7775861e-10,0.0057746762,0.00032774194,0.0019752389,0.017065157,19.62663,33.228767,0.75662073,33.463557,0.000015264939,"PACK AGB"
"13620","13620","fruits, légumes, légumineuses et oléagineux","fruits","Pomme Golden, pulpe et peau, crue","Apple, var. Golden, pulp and skin, raw","2",0,"Ambiant (moyen)","Pas de préparation",5,0.055669111,0.52882804,2.9846672e-8,0.06381576,0.0026716997,2.5098815e-8,1.3322713e-8,2.9145162e-10,0.0023956276,0.000068046373,0.0010173999,0.0091469355,13.783948,20.12695,0.38577287,7.2448096,0.0000041230688,"PACK AGB"
"13176","13176","fruits, légumes, légumineuses et oléagineux","fruits","Pomme, pulpe, bouillie/cuite à l'eau","Apples, raw, without skin, cooked, boiled/cooked in water","2",0,"Ambiant (moyen)","Cuisson à l'eau",5,0.14784854,1.6152706,2.1608184e-7,0.25949267,0.0061778773,5.7621265e-8,2.3069032e-8,7.4080655e-10,0.0053195144,0.00029375658,0.0019085183,0.016473132,19.281131,32.738034,0.73062499,25.513458,0.000011950248,"PACK AGB"
"2043","2043","boissons","boissons sans alcool","Nectar d'abricot","Apricot nectar","2",0,"Ambiant (long)","Pas de préparation",5,0.12713885,0.57623714,5.3737975e-7,0.21489957,0.0016837644,3.0121942e-8,1.0212992e-8,1.970797e-10,0.0027712816,0.00013935835,0.015833376,0.008928904,7.9365248,260.29649,0.88853528,10.887697,0.000016734659,"PACK PROXY"
"13712","13712","fruits, légumes, légumineuses et oléagineux","fruits","Abricot au sirop léger, appertisé, égoutté","Apricot, canned in light syrup, drained","2",0,"Ambiant (long)","Pas de préparation",5,0.27226438999999997,1.413479,2.6441849e-8,1.4549975,0.0039595417,7.1778686e-8,2.5250517e-8,4.1813864e-9,0.0042110648,0.00043152175,0.030310829,0.010455913,16.322117,500.4309,1.5775041,43.169353,0.0000084737816,"PACK AGB"
"13713","13713","fruits, légumes, légumineuses et oléagineux","fruits","Abricot au sirop léger, appertisé, non égoutté","Apricot, canned in light syrup, not drained","2",0,"Ambiant (long)","Pas de préparation",5,0.16014536,0.83137662,1.5552797e-8,0.85581223,0.0023288009,4.2218875e-8,1.4847492e-8,2.4595756e-9,0.0024767134,0.00025352253,0.017822939,0.0061492023,9.5824155,294.37072,0.9308136,25.391696,0.0000049839517,"PACK AGB"
"13714","13714","fruits, légumes, légumineuses et oléagineux","fruits","Abricot au sirop, appertisé, égoutté","Apricot, in syrup, canned, drained","2",0,"Ambiant (long)","Pas de préparation",5,0.27647939,1.4353625,2.6851212e-8,1.4775233,0.0040208478,7.2889957e-8,2.5641609e-8,4.2461161e-9,0.004276266,0.00043821345,0.030780299,0.01061782,16.575489,508.17752,1.6018157,43.837686,0.0000086049782,"PACK AGB"
"13715","13715","fruits, légumes, légumineuses et oléagineux","fruits","Abricot au sirop, appertisé, non égoutté","Apricot, in syrup, canned, not drained","2",0,"Ambiant (long)","Pas de préparation",5,0.16014536,0.83137662,1.5552797e-8,0.85581223,0.0023288009,4.2218875e-8,1.4847492e-8,2.4595756e-9,0.0024767134,0.00025352253,0.017822939,0.0061492023,9.5824155,294.37072,0.9308136,25.391696,0.0000049839517,"PACK AGB"
"13001","13001","fruits, légumes, légumineuses et oléagineux","fruits","Abricot, dénoyauté, sec","Apricot, pitted, dried","2",0,"Ambiant (moyen)","Pas de préparation",5,0.8995609,3.697138,5.4292176e-8,0.34831935,0.0072424158,8.7218208e-8,9.9946424e-8,1.4760833e-9,0.0079211969,0.0010584858,0.17896099,0.021461844,80.506959,2987.0728,8.1900122,32.801764,0.000027247068,"PACK AGB"
"13000","13000","fruits, légumes, légumineuses et oléagineux","fruits","Abricot, dénoyauté, cru","Apricot, pitted, raw","2",0,"Ambiant (moyen)","Pas de préparation",5,0.22324017000000002,1.4895009,7.736104e-8,0.14679326,0.0044131177,5.0595201e-8,2.3797259e-8,4.7309513e-10,0.003961649,0.00032462094,0.031225776,0.011398166,15.434488,518.97723,1.5962773,19.756667,0.0000090271061,"PACK AGB"
"23494","23494","produits céréaliers","gâteaux et pâtisseries","Tarte aux abricots","Apricots tart","2",0,"Ambiant (long)","Pas de préparation",5,0.34484222,2.1687841,0.0000017791412,0.58460639,0.0054743832,1.521465e-7,3.6539385e-8,8.5826175e-10,0.019365699,0.0003353008,0.027095273,0.077137829,21.390146,406.97543,1.3732131,29.425976,0.000050985007,"PACK PROXY"
"26171","26171","viandes, œufs, poissons","poissons crus","Omble chevalier, cru","Arctic char, raw","2",0,"Glacé","Pas de préparation",5,3.1754643,5.5230275,0.0000015475877,1.654049,0.026805324,3.5352668e-7,5.3368355e-8,2.5423146e-9,0.035240048,0.0238648,0.095812321,0.12277943,128.72814,134.93421,274.01103,93.914251,0.000057744985,"PACK PROXY"
"11111","11111","aides culinaires et ingrédients divers","sauces","Sauce armoricaine, préemballée","Armorican-style sauce, prepacked","2",0,"Glacé","Micro-onde",5,0.4217367,3.4866875,9.4234616e-7,0.89295978,0.014081696,3.5097084e-7,5.2890186e-8,1.5685365e-9,0.045503719,0.00041089214,0.012363284,0.17500229,25.39654,102.48949,0.77019451,44.754957,0.000032934348,"PACK PROXY"
"11172","11172","aides culinaires et ingrédients divers","aides culinaires","Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated","2",0,"Ambiant (long)","Pas de préparation",5,1.8882246,7.9321699,1.8915229e-7,29.305132,0.026132781,4.8258668e-7,1.8590629e-7,3.8629398e-8,0.04859767,0.002037834,0.027913859,0.14617595,35.168649,104.98051,3.1007275,681.25251,0.000052035231,"PACK PROXY"
"20156","20156","fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, fond, appertisé, égoutté","Artichoke base, canned, drained","2",0,"Ambiant (long)","Pas de préparation",5,0.22666426,2.6811147,6.8064513e-8,0.32406046,0.0068018776,1.0760349e-7,3.0126955e-8,5.4049114e-9,0.0094616712,0.00052208476,0.0091614619,0.033529996,30.057308,98.347951,0.67345122,27.763412,0.000010151226,"PACK AGB"
"20232","20232","fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, fond, surgelé, cru","Artichoke base, frozen, raw","2",0,"Congelé","Pas de préparation",5,0.17552436999999999,1.9064093,3.8754371e-8,0.59528938,0.0042311091,6.0826433e-8,2.5650052e-8,6.6575004e-10,0.0073159208,0.00031448039,0.0083569183,0.026794558,26.914034,90.82133,0.52959188,23.617301,0.000010678378,"PACK AGB"
"20067","20067","fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, appertisé, égoutté","Artichoke, canned, drained","2",0,"Ambiant (long)","Pas de préparation",5,0.21248813000000003,2.5218262,6.1683404e-8,0.28761235,0.0062640421,9.9133319e-8,2.8815094e-8,4.7959309e-9,0.0089933427,0.00048316993,0.0089796984,0.032163118,29.417969,96.996571,0.64137371,25.032855,0.0000096388477,"PACK AGB"
"20000","20000","fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, cuit","Artichoke, globe, cooked","2",0,"Ambiant (moyen)","Cuisson à l'eau",5,0.19372216,2.0797738,7.3754871e-8,0.30137602,0.0069260063,8.6651376e-8,2.720399e-8,7.8271247e-10,0.0087408876,0.00034784471,0.0065856107,0.031298339,20.631426,86.470233,0.68499716,30.990645,0.000011461403,"PACK AGB"
"20052","20052","fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, cru","Artichoke, globe, raw","2",0,"Ambiant (moyen)","Pas de préparation",5,0.19149244999999998,2.5330615,5.2825006e-8,0.15844969,0.0059798117,8.5174049e-8,3.7139744e-8,9.3933559e-10,0.0087908686,0.00038620477,0.008741531,0.034671092,27.679174,99.113901,0.56096907,16.502088,0.0000095448459,"PACK AGB"
"20155","20155","fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, coeur, appertisé, égoutté","Artichoke, heart, canned, drained","2",0,"Ambiant (long)","Pas de préparation",5,0.21248813000000003,2.5218262,6.1683404e-8,0.28761235,0.0062640421,9.9133319e-8,2.8815094e-8,4.7959309e-9,0.0089933427,0.00048316993,0.0089796984,0.032163118,29.417969,96.996571,0.64137371,25.032855,0.0000096388477,"PACK AGB"
"12761","12761","lait et produits laitiers","fromages","Asiago","Asiago cheese, from cow's milk","2",0,"Glacé","Pas de préparation",5,0.52906098,4.9199335,4.7823352e-8,0.57986983,0.010848276,5.3667199e-7,8.5528664e-8,2.2440697e-9,0.073686307,0.0004935726,0.017928608,0.31339721,44.245222,175.34691,0.65709655,32.485135,0.000012065824,"PACK AGB"
"9085","9085","produits céréaliers","pâtes, riz et céréales","Nouilles asiatiques cuites, aromatisées","Asian noodles, flavoured, cooked","2",0,"Ambiant (long)","Micro-onde",5,0.19179725,1.567437,3.6317645e-8,0.62828454,0.0056449363,1.1585917e-7,2.1314578e-8,1.0501086e-9,0.01443142,0.00035228565,0.007673835,0.058151035,23.681598,87.702995,0.48951445,29.167024,0.0000072995391,"PACK AGB"
"9863","9863","produits céréaliers","pâtes, riz et céréales","Nouilles asiatiques aromatisées, déshydratées","Asian noodles, flavoured, dehydrated","2",0,"Ambiant (long)","Pas de préparation",5,0.22881481,1.7683074,3.9975746e-8,0.92478278,0.0064347814,1.3676984e-7,2.4512628e-8,1.2406328e-9,0.017290092,0.00040049382,0.0092545635,0.070037958,28.329924,104.66574,0.55293823,36.804715,0.0000079293754,"PACK AGB"
"9086","9086","produits céréaliers","pâtes, riz et céréales","Nouilles asiatiques cuites, nature, non salées","Asian noodles, plain, cooked, unsalted","2",0,"Ambiant (long)","Micro-onde",5,0.19179725,1.567437,3.6317645e-8,0.62828454,0.0056449363,1.1585917e-7,2.1314578e-8,1.0501086e-9,0.01443142,0.00035228565,0.007673835,0.058151035,23.681598,87.702995,0.48951445,29.167024,0.0000072995391,"PACK AGB"
"20001","20001","fruits, légumes, légumineuses et oléagineux","légumes","Asperge, bouillie/cuite à l'eau","Asparagus, boiled/cooked in water","2",0,"Ambiant (moyen)","Cuisson à l'eau",5,0.29440608,2.0922745,5.9698765e-8,0.36739967,0.0075050659,1.3288233e-7,1.4648189e-7,1.8243895e-9,0.015445254,0.00038276186,0.010591121,0.059027157,14.930315,125.15969,2.6318105,31.131735,0.000042791967,"PACK AGB"
"20076","20076","fruits, légumes, légumineuses et oléagineux","légumes","Asperge, appertisée, égouttée","Asparagus, canned, drained","2",0,"Ambiant (long)","Pas de préparation",5,0.26225802,1.9572342,5.9295557e-8,0.36395955,0.0069229539,1.3353978e-7,1.1656547e-7,5.3419788e-9,0.013144238,0.00043058723,0.0087923857,0.048971104,13.765666,99.976633,2.0939868,28.710478,0.000033241377,"PACK AGB"
"20279","20279","fruits, légumes, légumineuses et oléagineux","légumes","Asperge, verte, crue","Asparagus, green, raw","2",0,"Ambiant (moyen)","Pas de préparation",5,0.20438962,1.2133858,3.1911652e-8,0.18247318,0.0046293652,9.8691476e-8,1.2125225e-7,1.4269042e-9,0.011827557,0.00021351884,0.0086019318,0.046757017,11.010088,101.75123,2.0928805,15.374766,0.000034078412,"PACK AGB"
"20073","20073","fruits, légumes, légumineuses et oléagineux","légumes","Asperge, pelée, crue","Asparagus, peeled, raw","2",0,"Ambiant (moyen)","Pas de préparation",5,0.20438962,1.2133858,3.1911652e-8,0.18247318,0.0046293652,9.8691476e-8,1.2125225e-7,1.4269042e-9,0.011827557,0.00021351884,0.0086019318,0.046757017,11.010088,101.75123,2.0928805,15.374766,0.000034078412,"PACK AGB"
"20282","20282","fruits, légumes, légumineuses et oléagineux","légumes","Asperge, blanche ou violette, pelée, crue","Asparagus, white or purple, peeled, raw","2",0,"Ambiant (moyen)","Pas de préparation",5,0.20438962,1.2133858,3.1911652e-8,0.18247318,0.0046293652,9.8691476e-8,1.2125225e-7,1.4269042e-9,0.011827557,0.00021351884,0.0086019318,0.046757017,11.010088,101.75123,2.0928805,15.374766,0.000034078412,"PACK AGB"
"26075","26075","viandes, œufs, poissons","poissons crus","Bar ou loup de l'Atlantique, cru","Atlantic bass, raw","2",0,"Glacé","Pas de préparation",5,1.9980886,12.822659,0.0000015610333,1.5136074,0.062680032,7.4794584e-7,2.7538534e-7,5.5437332e-9,0.068529816,0.0012351703,0.56058275,0.24958185,114.99832,369.98448,2.6279663,177.58084,0.00005705798,"PACK PROXY"
