material,weight_kg,transport_mode,transport_distance_km,manufacturing_intensity,material_co2,manufacturing_co2,transport_co2,total_co2_kg,material_encoded,transport_encoded,intensity_encoded
Nuts,4.403,AIR,11066.5,LOW,10.126,1.541,46.285,58.339,19,0,1
Glass,6.391,ROAD,991.3,MEDIUM,5.752,11.504,0.76,17.943,13,2,2
Fish_Wild,0.357,ROAD,1469.1,MEDIUM,1.036,0.429,0.063,1.636,12,2,2
Nuts,1.205,SEA,13092.4,LOW,2.772,0.422,0.237,3.454,19,3,1
Butter,5.687,RAIL,3156.1,MEDIUM,68.246,7.678,0.449,70.7,5,1,2
Polyester,3.881,ROAD,2993.9,LOW,24.062,2.911,1.394,28.434,23,2,1
Oats,1.601,ROAD,851.5,LOW,2.562,0.56,0.164,3.195,20,2,1
Wood,1.198,ROAD,2210.2,LOW,0.599,0.479,0.318,1.349,33,2,1
Wool,0.177,RAIL,3634.7,LOW,1.837,0.124,0.016,1.947,34,1,1
Beans,2.864,AIR,3423.1,LOW,2.864,0.859,9.312,12.872,3,0,1
Leather,5.372,RAIL,2443.5,HIGH,91.323,37.603,0.328,127.871,15,1,0
Beans,1.467,ROAD,2521.6,LOW,1.467,0.44,0.444,2.358,3,2,1
Wood,1.414,AIR,14444.5,MEDIUM,0.707,1.696,19.398,21.255,33,0,2
Steel,9.067,ROAD,504.0,HIGH,25.387,57.12,0.548,80.685,28,2,0
Pork,2.103,ROAD,1761.3,MEDIUM,25.45,3.47,0.445,27.139,24,2,2
Wool,1.327,AIR,13078.5,MEDIUM,13.799,2.786,16.486,30.158,34,0,2
Paper,3.029,ROAD,880.1,HIGH,3.937,10.6,0.32,14.708,21,2,0
Glass,1.243,ROAD,2888.3,LOW,1.119,0.746,0.431,2.307,13,2,1
Wheat,0.05,ROAD,2482.8,LOW,0.07,0.017,0.015,0.098,32,2,1
Apples,6.199,ROAD,1587.7,MEDIUM,2.48,4.65,1.181,8.366,1,2,2
Wheat,4.413,ROAD,2056.4,LOW,6.178,1.545,1.089,9.035,32,2,1
Plastic,5.745,AIR,12659.3,LOW,20.106,4.596,69.086,93.343,22,0,1
Tomatoes,0.623,SEA,6261.5,HIGH,1.309,1.309,0.059,2.791,30,3,0
Fish_Wild,1.174,AIR,12642.8,LOW,3.404,0.47,14.098,17.18,12,0,1
Milk,2.224,RAIL,1841.0,HIGH,4.225,5.449,0.102,10.547,18,1,0
Corn,4.156,SEA,16562.8,HIGH,4.571,10.182,1.032,16.32,8,3,0
Fish_Wild,4.064,ROAD,220.9,LOW,11.787,1.626,0.108,14.181,12,2,1
Shrimp,2.561,AIR,2287.6,MEDIUM,46.104,4.995,5.566,55.175,27,0,2
Turkey,0.834,AIR,4066.2,MEDIUM,9.093,1.251,3.223,14.063,31,0,2
Oats,1.834,ROAD,930.2,MEDIUM,2.935,1.926,0.205,5.361,20,2,2
Chicken,0.922,RAIL,4823.5,LOW,6.362,0.461,0.111,6.811,7,1,1
Oats,1.437,ROAD,1222.9,LOW,2.299,0.503,0.211,3.108,20,2,1
Steel,1.561,RAIL,1303.8,MEDIUM,4.371,4.215,0.051,8.741,28,1,2
Beans,3.013,ROAD,1652.5,LOW,3.013,0.904,0.597,4.903,3,2,1
Beans,2.487,ROAD,2542.1,MEDIUM,2.487,2.239,0.759,5.61,3,2,2
Wool,0.756,RAIL,4844.1,MEDIUM,7.86,1.587,0.092,9.986,34,1,2
Turkey,0.479,SEA,15283.5,LOW,5.217,0.239,0.11,5.552,31,3,1
Butter,0.244,ROAD,965.6,LOW,2.931,0.11,0.028,3.155,5,2,1
Fish_Wild,0.958,ROAD,910.4,LOW,2.779,0.383,0.105,2.871,12,2,1
Lettuce,5.093,SEA,6541.9,MEDIUM,4.583,3.82,0.5,9.279,17,3,2
Potatoes,1.621,SEA,10190.2,MEDIUM,0.811,1.216,0.248,2.231,25,3,2
Lettuce,0.576,SEA,5498.0,MEDIUM,0.518,0.432,0.048,1.0,17,3,2
Butter,3.52,ROAD,171.5,LOW,42.243,1.584,0.072,41.751,5,2,1
Beef,12.706,ROAD,931.6,HIGH,343.049,53.363,1.42,425.345,4,2,0
Glass,4.827,SEA,17222.4,HIGH,4.344,20.274,1.247,26.686,13,3,0
Beef,1.892,ROAD,1384.3,HIGH,51.074,7.945,0.314,62.152,4,2,0
Chicken,0.754,RAIL,1252.2,MEDIUM,5.206,1.132,0.024,6.208,7,1,2
Glass,1.319,AIR,4101.7,MEDIUM,1.187,2.374,5.139,9.153,13,0,2
Shrimp,0.342,ROAD,1505.2,MEDIUM,6.153,0.667,0.062,7.293,27,2,2
Bananas,1.005,SEA,17606.8,LOW,0.704,0.251,0.265,1.134,2,3,1
Eggs,5.05,ROAD,1070.5,MEDIUM,24.242,6.818,0.649,33.093,10,2,2
Cheese,68.432,ROAD,1784.8,MEDIUM,923.832,102.648,14.656,1059.221,6,2,2
Apples,6.016,RAIL,2224.3,LOW,2.406,1.504,0.335,4.237,1,1,1
Lamb,0.736,ROAD,745.6,HIGH,17.656,3.09,0.066,18.434,14,2,0
Corn,0.852,RAIL,1068.7,LOW,0.937,0.298,0.023,1.216,8,1,1
Chicken,0.113,ROAD,532.4,LOW,0.779,0.056,0.007,0.853,7,2,1
Wheat,4.344,SEA,16602.1,LOW,6.081,1.52,1.082,8.143,32,3,1
Tofu,0.255,AIR,4206.9,LOW,0.51,0.102,1.019,1.608,29,0,1
Wood,0.569,ROAD,1784.3,LOW,0.284,0.227,0.122,0.647,33,2,1
Cheese,8.895,SEA,13002.7,HIGH,120.078,31.131,1.735,140.666,6,3,0
Wheat,2.031,ROAD,150.9,MEDIUM,2.844,2.133,0.037,5.287,32,2,2
Paper,3.948,AIR,3587.4,MEDIUM,5.132,5.922,13.454,24.572,21,0,2
Steel,2.073,ROAD,1222.3,HIGH,5.805,13.062,0.304,18.313,28,2,0
Apples,0.258,ROAD,1060.8,LOW,0.103,0.065,0.033,0.206,1,2,1
Tofu,0.535,ROAD,2911.2,LOW,1.069,0.214,0.187,1.517,29,2,1
Glass,0.951,RAIL,1425.5,LOW,0.856,0.571,0.034,1.417,13,1,1
Nuts,1.457,SEA,17463.2,HIGH,3.352,3.57,0.382,7.294,19,3,0
Lamb,2.092,RAIL,3082.9,HIGH,50.199,8.785,0.161,58.378,14,1,0
Chicken,11.706,SEA,14867.7,MEDIUM,80.773,17.559,2.611,95.157,7,3,2
Aluminum,4.319,RAIL,3811.7,MEDIUM,35.414,16.195,0.412,50.985,0,1,2
Tomatoes,3.246,ROAD,1014.7,MEDIUM,6.816,2.921,0.395,10.312,30,2,2
Milk,3.377,ROAD,1335.0,HIGH,6.416,8.273,0.541,15.763,18,2,0
Cotton,1.905,AIR,6219.6,LOW,10.479,1.238,11.257,21.793,9,0,1
Plastic,0.146,ROAD,1809.6,LOW,0.511,0.117,0.032,0.695,22,2,1
Bananas,11.827,ROAD,1417.3,LOW,8.279,2.957,2.012,13.916,2,2,1
Nuts,0.233,ROAD,1213.4,HIGH,0.536,0.571,0.034,1.15,19,2,0
Aluminum,4.599,ROAD,2476.1,HIGH,37.713,40.243,1.367,83.207,0,2,0
Fish_Farmed,4.099,SEA,18905.5,LOW,20.904,1.844,1.162,24.247,11,3,1
Eggs,0.308,SEA,14260.3,LOW,1.479,0.139,0.066,1.676,10,3,1
Rice,1.767,ROAD,314.4,MEDIUM,7.069,2.121,0.067,9.612,26,2,2
Polyester,0.799,SEA,7717.2,MEDIUM,4.956,1.798,0.093,6.304,23,3,2
Wood,0.862,SEA,16901.1,LOW,0.431,0.345,0.219,1.02,33,3,1
Cheese,8.819,ROAD,178.1,HIGH,119.055,30.866,0.188,149.546,6,2,0
Pork,7.01,RAIL,1294.8,MEDIUM,84.825,11.567,0.227,98.474,24,1,2
Wood,0.946,RAIL,3895.7,LOW,0.473,0.378,0.092,0.892,33,1,1
Nuts,0.589,ROAD,2561.0,HIGH,1.356,1.444,0.181,2.823,19,2,0
Wood,3.333,SEA,11359.2,LOW,1.667,1.333,0.568,3.69,33,3,1
Bananas,1.497,ROAD,576.4,LOW,1.048,0.374,0.104,1.609,2,2,1
Bananas,5.242,SEA,10863.6,LOW,3.669,1.31,0.854,6.479,2,3,1
Beans,0.629,ROAD,2166.9,LOW,0.629,0.189,0.163,1.061,3,2,1
Lentils,3.263,SEA,6191.3,LOW,2.937,0.979,0.303,4.563,16,3,1
Lettuce,0.233,SEA,10153.4,HIGH,0.209,0.407,0.035,0.704,17,3,0
Leather,7.288,ROAD,256.3,HIGH,123.9,51.018,0.224,173.259,15,2,0
Glass,2.452,ROAD,1006.8,HIGH,2.207,10.3,0.296,13.337,13,2,0
Butter,3.796,ROAD,1422.4,MEDIUM,45.554,5.125,0.648,56.323,5,2,2
Steel,3.147,SEA,13037.4,MEDIUM,8.812,8.497,0.615,17.1,28,3,2
Fish_Farmed,1.61,SEA,6797.4,MEDIUM,8.209,2.173,0.164,10.748,11,3,2
Steel,4.657,SEA,15073.4,MEDIUM,13.04,12.574,1.053,27.685,28,3,2
Butter,2.076,SEA,17391.0,MEDIUM,24.912,2.803,0.542,27.82,5,3,2
Apples,0.727,SEA,10194.8,LOW,0.291,0.182,0.111,0.55,1,3,1
Cotton,0.596,ROAD,1821.8,LOW,3.277,0.387,0.13,3.491,9,2,1
Bananas,2.556,ROAD,1203.6,LOW,1.789,0.639,0.369,2.993,2,2,1
Shrimp,9.693,ROAD,2178.2,MEDIUM,174.469,18.901,2.534,206.517,27,2,2
Plastic,0.897,ROAD,561.9,MEDIUM,3.14,2.153,0.06,5.29,22,2,2
Shrimp,1.831,RAIL,2960.8,MEDIUM,32.955,3.57,0.136,37.663,27,1,2
Lettuce,1.6,ROAD,2306.2,LOW,1.44,0.4,0.443,2.376,17,2,1
Wool,0.632,ROAD,1543.0,HIGH,6.569,3.095,0.117,9.953,34,2,0
Leather,2.204,RAIL,4405.3,MEDIUM,37.467,6.612,0.243,42.173,15,1,2
Aluminum,0.226,SEA,13466.6,MEDIUM,1.852,0.847,0.046,2.917,0,3,2
Beans,1.971,RAIL,1348.1,LOW,1.971,0.591,0.066,2.584,3,1,1
Paper,0.704,SEA,15374.3,LOW,0.915,0.352,0.162,1.491,21,3,1
Leather,0.357,SEA,8312.0,MEDIUM,6.074,1.072,0.045,7.415,15,3,2
Bananas,0.405,ROAD,2214.2,MEDIUM,0.283,0.304,0.108,0.632,2,2,2
Polyester,1.247,ROAD,1767.3,MEDIUM,7.732,2.806,0.264,10.237,23,2,2
Steel,0.5,ROAD,1390.4,HIGH,1.4,3.151,0.083,4.627,28,2,0
Nuts,3.97,ROAD,1861.5,LOW,9.131,1.39,0.887,10.702,19,2,1
Eggs,2.339,RAIL,4082.6,LOW,11.227,1.053,0.239,12.061,10,1,1
Lettuce,1.483,ROAD,1995.1,HIGH,1.335,2.595,0.355,4.482,17,2,0
Butter,7.862,AIR,8739.3,HIGH,94.349,24.767,65.276,198.788,5,0,0
Steel,1.834,ROAD,172.9,MEDIUM,5.135,4.951,0.038,10.996,28,2,2
Cotton,0.629,SEA,10245.5,MEDIUM,3.462,1.227,0.097,5.097,9,3,2
Plastic,0.792,ROAD,1671.4,MEDIUM,2.772,1.901,0.159,5.121,22,2,2
Glass,5.448,ROAD,1176.7,MEDIUM,4.903,9.806,0.769,14.893,13,2,2
Wool,2.31,ROAD,1949.5,MEDIUM,24.028,4.852,0.54,28.059,34,2,2
Wood,0.762,RAIL,3089.0,LOW,0.381,0.305,0.059,0.779,33,1,1
Potatoes,4.035,ROAD,427.9,LOW,2.017,1.009,0.207,3.329,25,2,1
Shrimp,0.808,ROAD,1346.2,HIGH,14.536,3.674,0.13,17.166,27,2,0
Butter,2.406,ROAD,1513.3,LOW,28.874,1.083,0.437,30.141,5,2,1
Eggs,4.63,RAIL,4263.3,LOW,22.224,2.084,0.493,24.078,10,1,1
Shrimp,0.372,RAIL,3791.3,HIGH,6.691,1.691,0.035,8.673,27,1,0
Tofu,0.474,ROAD,2954.8,MEDIUM,0.948,0.569,0.168,1.727,29,2,2
Oats,0.862,ROAD,321.0,MEDIUM,1.38,0.905,0.033,2.355,20,2,2
Tomatoes,0.392,SEA,11201.2,LOW,0.824,0.118,0.066,1.006,30,3,1
Lettuce,0.169,ROAD,2082.2,HIGH,0.152,0.295,0.042,0.491,17,2,0
Beans,0.781,ROAD,77.5,LOW,0.781,0.234,0.007,1.047,3,2,1
Steel,1.076,SEA,18197.2,HIGH,3.014,6.781,0.294,10.397,28,3,0
Beans,12.23,ROAD,604.7,LOW,12.23,3.669,0.887,17.118,3,2,1
Pork,11.784,ROAD,2527.9,HIGH,142.584,45.368,3.575,216.666,24,2,0
Chicken,0.289,SEA,9584.1,MEDIUM,1.997,0.434,0.042,2.336,7,3,2
Leather,10.767,ROAD,690.8,MEDIUM,183.038,32.301,0.892,202.715,15,2,2
Eggs,1.001,ROAD,2629.1,LOW,4.803,0.45,0.316,5.24,10,2,1
Chicken,0.865,SEA,15544.2,LOW,5.967,0.432,0.202,6.702,7,3,1
